 col,row,time,value
         8,         7,  0.3680000E+04,  0.5010000E+00
         8,         7,  0.3690000E+04,  0.5010000E+00
         8,         7,  0.3700000E+04,  0.5010000E+00
         8,         7,  0.3710000E+04,  0.5010000E+00
         8,         7,  0.3720000E+04,  0.5010000E+00
         8,         7,  0.3730000E+04,  0.5010000E+00
         8,         7,  0.3740000E+04,  0.5010000E+00
         8,         7,  0.3750000E+04,  0.5010000E+00
         8,         7,  0.3760000E+04,  0.5010000E+00
         8,         7,  0.3770000E+04,  0.5010000E+00
         8,         7,  0.3780000E+04,  0.5010000E+00
         8,         7,  0.3790000E+04,  0.5010000E+00
         8,         7,  0.3800000E+04,  0.5010000E+00
         8,         7,  0.3810000E+04,  0.5010000E+00
         8,         7,  0.3820000E+04,  0.5010000E+00
         8,         7,  0.3830000E+04,  0.5010000E+00
         8,         7,  0.3840000E+04,  0.5010000E+00
         8,         7,  0.3850000E+04,  0.5010000E+00
         8,         7,  0.3860000E+04,  0.5010000E+00
         8,         7,  0.3870000E+04,  0.5010000E+00
         8,         7,  0.3880000E+04,  0.5010000E+00
         8,         7,  0.3890000E+04,  0.5010000E+00
         8,         7,  0.3900000E+04,  0.5010000E+00
         8,         7,  0.3910000E+04,  0.5010000E+00
         8,         7,  0.3920000E+04,  0.5010000E+00
         8,         7,  0.3930000E+04,  0.5010000E+00
         8,         7,  0.3940000E+04,  0.5010000E+00
         8,         7,  0.3950000E+04,  0.5010000E+00
         8,         7,  0.3960000E+04,  0.5010000E+00
         8,         7,  0.3970000E+04,  0.5010000E+00
         8,         7,  0.3980000E+04,  0.5010000E+00
         8,         7,  0.3990000E+04,  0.5010000E+00
         8,         7,  0.4000000E+04,  0.5010000E+00
         8,         7,  0.4010000E+04,  0.5010000E+00
         8,         7,  0.4020000E+04,  0.5010000E+00
         8,         7,  0.4030000E+04,  0.5010000E+00
         8,         7,  0.4040000E+04,  0.5010000E+00
         8,         7,  0.4050000E+04,  0.5010000E+00
         8,         7,  0.4060000E+04,  0.5010000E+00
         8,         7,  0.4070000E+04,  0.5010000E+00
         8,         7,  0.4080000E+04,  0.5010000E+00
         8,         7,  0.4090000E+04,  0.5010000E+00
         8,         7,  0.4100000E+04,  0.5010000E+00
         8,         7,  0.4110000E+04,  0.5010000E+00
         8,         7,  0.4120000E+04,  0.5010000E+00
         8,         7,  0.4130000E+04,  0.5010000E+00
         8,         7,  0.4140000E+04,  0.5010000E+00
         8,         7,  0.4150000E+04,  0.5010000E+00
         8,         7,  0.4160000E+04,  0.5010000E+00
         8,         7,  0.4170000E+04,  0.5010000E+00
         8,         7,  0.4180000E+04,  0.5010000E+00
         8,         7,  0.4190000E+04,  0.5010000E+00
         8,         7,  0.4200000E+04,  0.5010000E+00
         8,         7,  0.4210000E+04,  0.5010000E+00
         8,         7,  0.4220000E+04,  0.5010000E+00
         8,         7,  0.4230000E+04,  0.5010000E+00
         8,         7,  0.4240000E+04,  0.5010000E+00
         8,         7,  0.4250000E+04,  0.5010000E+00
         8,         7,  0.4260000E+04,  0.5010000E+00
         8,         7,  0.4270000E+04,  0.5010000E+00
         8,         7,  0.4280000E+04,  0.5010000E+00
         8,         7,  0.4290000E+04,  0.5010000E+00
         8,         7,  0.4300000E+04,  0.5010000E+00
         8,         7,  0.4310000E+04,  0.5010000E+00
         8,         7,  0.4320000E+04,  0.5010000E+00
         8,         7,  0.4330000E+04,  0.5010000E+00
         8,         7,  0.4340000E+04,  0.5010000E+00
         8,         7,  0.4350000E+04,  0.5010000E+00
         8,         7,  0.4360000E+04,  0.5010000E+00
         8,         7,  0.4370000E+04,  0.5010000E+00
         8,         7,  0.4380000E+04,  0.5010000E+00
         8,         7,  0.4390000E+04,  0.5010000E+00
         8,         7,  0.4400000E+04,  0.5010000E+00
         8,         7,  0.4410000E+04,  0.5010000E+00
         8,         7,  0.4420000E+04,  0.5010000E+00
         8,         7,  0.4430000E+04,  0.5010000E+00
         8,         7,  0.4440000E+04,  0.5010000E+00
         8,         7,  0.4450000E+04,  0.5010000E+00
         8,         7,  0.4460000E+04,  0.5010000E+00
         8,         7,  0.4470000E+04,  0.5010000E+00
         8,         7,  0.4480000E+04,  0.5010000E+00
         8,         7,  0.4490000E+04,  0.5010000E+00
         8,         7,  0.4500000E+04,  0.5010000E+00
         8,         7,  0.4510000E+04,  0.5010000E+00
         8,         7,  0.4520000E+04,  0.5010000E+00
         8,         7,  0.4530000E+04,  0.5010000E+00
         8,         7,  0.4540000E+04,  0.5010000E+00
         8,         7,  0.4550000E+04,  0.5010000E+00
         8,         7,  0.4560000E+04,  0.5010000E+00
         8,         7,  0.4570000E+04,  0.5010000E+00
         8,         7,  0.4580000E+04,  0.5010000E+00
         8,         7,  0.4590000E+04,  0.5010000E+00
         8,         7,  0.4600000E+04,  0.5010000E+00
         8,         7,  0.4610000E+04,  0.5010000E+00
         8,         7,  0.4620000E+04,  0.5010000E+00
         8,         7,  0.4630000E+04,  0.5010000E+00
         8,         7,  0.4640000E+04,  0.5010000E+00
         8,         7,  0.4650000E+04,  0.5010000E+00
         8,         7,  0.4660000E+04,  0.5010000E+00
         8,         7,  0.4670000E+04,  0.5010000E+00
         8,         7,  0.4680000E+04,  0.5010000E+00
         8,         7,  0.4690000E+04,  0.5010000E+00
         8,         7,  0.4700000E+04,  0.5010000E+00
         8,         7,  0.4710000E+04,  0.5010000E+00
         8,         7,  0.4720000E+04,  0.5010000E+00
